WWL 2022 Rank,Country,Private life,Family life,Community life,National life,Church life,Violence,Total score WWL 2022,WWL 2021 Rank,Total score WWL 2021
59,Kyrgyzstan,12.9,10.1,11.1,10.4,12,1.5,58,56,58
60,Bahrain,12.5,13.2,9.1,11.1,10.2,0.9,57,60,56
61,Nicaragua,9.1,5.6,11.1,11.8,11.3,7.6,56,63,51
62,Russian Federation,12.3,8,10.2,10.6,12.3,2.2,56,58,57
63,Chad,11.5,8.2,10.2,9.6,10.3,5.6,55,62,53
64,Burundi,7.6,7.8,9.7,9.2,9.6,8.1,52,64,48
65,Venezuela,5.6,4.5,11.2,9.4,11.1,9.6,51,40,40
66,Angola,6.8,6.7,8.1,10.1,11.4,7.8,51,68,46
67,Rwanda,8.1,5.5,6.7,10.3,10.1,9.3,50,72,42
68,Honduras,7.2,5.1,10.5,7.7,9.2,8.7,48,67,46
69,Uganda,8.1,4.6,7.4,6.7,9.1,11.7,48,65,47
70,El Salvador,7.7,4.6,10.7,5.7,9.1,7.2,45,74,42
71,Togo,9.2,6.7,9.3,7.1,9.8,2.4,44,71,43
72,Gambia,8.3,8.2,8.7,8.3,8.8,1.7,44,70,43
73,Guinea,10.3,7.5,8.3,7,8.1,2,43,66,47
74,South Sudan,5.7,0.9,7,6.3,7.8,15,43,69,43
75,Ivory Coast,9.8,8.6,8.2,5.5,7.9,2,42,73,42
76,Israel,9.8,8.4,5.6,6.6,6.6,4.3,41,40,40
