ROG3,region,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
BD,Bermuda,60000,7,,,5,eng,English,1,Christianity,91.66205363,26.15106744,N,NAR,North America,12,"America, North and Caribbean",100,98,BMU,62000,
BT,Bhutan,784000,75,72,781000,1,dzo,Dzongkha,2,Buddhism,0.307549616,,Y,ASI,Asia,4,"Asia, South",41,67,BTN,788000,77
BL,Bolivia,11939000,48,2,3000,5,spa,Spanish,1,Christianity,92.4431816,19.33841321,N,LAM,South America,11,"America, Latin",69,93,BOL,11993000,2
BK,Bosnia-Herzegovina,3224000,16,3,1637000,2,bos,Bosnian,6,Islam,40.96811523,0.157751244,N,EUR,Europe,9,"Europe, Eastern and Eurasia",48,99,BIH,3249000,35
BC,Botswana,2374000,46,,,4,eng,English,1,Christianity,65.5136976,8.257272209,N,AFR,Africa,7,"Africa, East and Southern",69,87,BWA,2441000,
BR,Brazil,215086000,322,49,123000,5,por,Portuguese,1,Christianity,89.78016239,24.93902904,N,LAM,South America,11,"America, Latin",87,98,BRA,215354000,47
IO,British Indian Ocean Territory,3000,2,,,5,eng,English,1,Christianity,79.55932203,33.83050847,N,ASI,Asia,4,"Asia, South",,,IOT,3000,
VI,British Virgin Islands,30000,4,,,5,eng,English,1,Christianity,90.64026945,28.70943367,N,NAR,North America,12,"America, North and Caribbean",48,98,VGB,31000,
BX,Brunei,401000,24,8,222000,4,zlm,Malay,6,Islam,9.710381204,5.215478983,Y,ASI,Asia,2,"Asia, Southeast",78,96,BRN,445000,11
BU,Bulgaria,6798000,30,7,624000,3,bul,Bulgarian,1,Christianity,82.38131911,1.981698578,N,EUR,Europe,9,"Europe, Eastern and Eurasia",75,98,BGR,6845000,17
UV,Burkina Faso,22035000,80,27,5127000,5,fra,French,6,Islam,21.16877683,10.5782867,Y,AFR,Africa,8,"Africa, West and Central",29,41,BFA,22103000,117
BY,Burundi,12559000,12,3,20000,5,run,Rundi,1,Christianity,93.39168465,30.16659969,N,AFR,Africa,7,"Africa, East and Southern",13,68,BDI,12625000,3
CB,Cambodia,17123000,44,19,16413000,4,khm,Khmer,2,Buddhism,3.483881337,2.044431909,Y,ASI,Asia,2,"Asia, Southeast",23,81,KHM,17169000,338
CM,Cameroon,27841000,293,17,3944000,4,fra,French,1,Christianity,52.42904241,9.200914898,N,AFR,Africa,8,"Africa, West and Central",56,77,CMR,27912000,86
CA,Canada,38256000,296,61,2784000,4,eng,English,1,Christianity,71.18670927,7.789245447,N,NAR,North America,12,"America, North and Caribbean",81,99,CAN,38388000,90
CV,Cape Verde,550000,5,1,69000,4,por,Portuguese,1,Christianity,85.14220127,8.287987837,N,AFR,Africa,8,"Africa, West and Central",66,87,CPV,568000,1
CJ,Cayman Islands,67000,10,,,5,eng,English,1,Christianity,81.91555064,21.21290062,N,NAR,North America,12,"America, North and Caribbean",100,99,CYM,67000,
CT,Central African Republic,4943000,81,6,425000,5,fra,French,1,Christianity,71.40504821,32.07952682,N,AFR,Africa,8,"Africa, West and Central",41,38,CAF,5017000,10
CD,Chad,17406000,141,80,9666000,4,arb,"Arabic, Standard",6,Islam,25.50225121,7.274975979,Y,AFR,Africa,8,"Africa, West and Central",23,22,TCD,17414000,224
CI,Chile,19180000,29,3,22000,5,spa,Spanish,1,Christianity,87.13184165,23.02009886,N,LAM,South America,11,"America, Latin",88,99,CHL,19250000,3
CH,China,1422647000,545,443,143699000,4,cmn,"Chinese, Mandarin",7,Non-Religious,9.201533995,7.586005795,Y,ASI,Asia,3,"Asia, Northeast",59,97,CHN,1448471000,3089
HK,"China, Hong Kong",7555000,24,10,431000,4,cmn,"Chinese, Mandarin",4,Ethnic Religions,13.08546307,6.120256223,Y,ASI,Asia,3,"Asia, Northeast",100,97,HKG,7604000,15
MC,"China, Macau",661000,12,5,584000,2,yue,"Chinese, Yue",4,Ethnic Religions,7.889165837,1.952786837,Y,ASI,Asia,3,"Asia, Northeast",100,97,MAC,667000,14
KT,Christmas Island,2100,4,2,1000,4,eng,English,2,Buddhism,15.0594035,2.342045986,N,SOP,Oceania,1,Australia and Pacific,,,CXR,2200,2
CK,Cocos (Keeling) Islands,600,2,1,400,4,eng,English,6,Islam,18.7804878,2.682926829,N,SOP,Oceania,1,Australia and Pacific,,,CCK,600,1
CO,Colombia,51404000,120,12,50000,5,spa,Spanish,1,Christianity,93.57286757,10.73120489,N,LAM,South America,11,"America, Latin",81,95,COL,51513000,12
CN,Comoros,892000,13,8,873000,1,swb,"Comorian, Maore",6,Islam,1.797190521,0.710401405,N,AFR,Africa,7,"Africa, East and Southern",29,78,COM,907000,22
CG,"Congo, Democratic Republic of",95179000,230,4,300000,5,fra,French,1,Christianity,91.6503013,19.22631679,N,AFR,Africa,8,"Africa, West and Central",45,77,COD,95241000,7
CF,"Congo, Republic of the",5732000,71,1,12000,5,fra,French,1,Christianity,85.48900973,14.57519206,N,AFR,Africa,8,"Africa, West and Central",67,80,COG,5798000,1
CW,Cook Islands,18000,7,,,5,eng,English,1,Christianity,97.66931211,13.56745301,N,SOP,Oceania,1,Australia and Pacific,75,95,COK,18000,
CS,Costa Rica,5144000,21,1,2600,5,spa,Spanish,1,Christianity,95.63810894,18.34706303,N,NAR,North America,11,"America, Latin",79,98,CRI,5182000,1
IV,Côte d'Ivoire,27124000,108,34,8671000,4,fra,French,6,Islam,31.75345713,9.913517831,N,AFR,Africa,8,"Africa, West and Central",51,47,CIV,27742000,186
HR,Croatia,4044000,25,2,30000,3,hrv,Croatian,1,Christianity,92.31718756,0.421418591,N,EUR,Europe,9,"Europe, Eastern and Eurasia",57,99,HRV,4059000,2
CU,Cuba,11303000,17,2,35000,5,spa,Spanish,1,Christianity,56.21175799,11.33548055,N,NAR,North America,12,"America, North and Caribbean",77,100,CUB,11306000,2
UC,Curacao,164000,16,2,800,4,nld,Dutch,1,Christianity,85.97025276,6.862407325,N,NAR,North America,12,"America, North and Caribbean",89,99,CUW,166000,2
CY,Cyprus,1190000,30,5,239000,3,ell,Greek,1,Christianity,71.91301401,1.278899756,N,EUR,Europe,10,"Europe, Western",67,99,CYP,1223000,8
EZ,Czechia,10679000,38,6,13000,2,ces,Czech,7,Non-Religious,26.83572008,0.737170005,N,EUR,Europe,9,"Europe, Eastern and Eurasia",74,100,CZE,10737000,6
DA,Denmark,5761000,86,24,292000,4,dan,Danish,1,Christianity,81.5546155,3.616224853,N,EUR,Europe,10,"Europe, Western",88,99,DNK,5835000,24
DJ,Djibouti,992000,11,7,964000,1,arb,"Arabic, Standard",6,Islam,2.175932783,0.137484843,Y,AFR,Africa,7,"Africa, East and Southern",78,68,DJI,1016000,23
DO,Dominica,69000,7,1,800,5,eng,English,1,Christianity,92.09167519,17.99721355,N,NAR,North America,12,"America, North and Caribbean",71,94,DMA,72000,1
DR,Dominican Republic,11002000,15,1,1700,5,spa,Spanish,1,Christianity,93.79272099,10.83901993,N,NAR,North America,12,"America, North and Caribbean",81,94,DOM,11056000,1
TT,East Timor,1348000,24,,,4,por,Portuguese,1,Christianity,91.29398482,2.497865406,Y,ASI,Asia,2,"Asia, Southeast",31,68,TLS,1369000,
EC,Ecuador,18048000,36,1,600,5,spa,Spanish,1,Christianity,93.69449787,10.57157292,N,LAM,South America,11,"America, Latin",64,94,ECU,18113000,1
EG,Egypt,106075000,42,25,12910000,4,arb,"Arabic, Standard",6,Islam,13.1297103,4.448021058,Y,AFR,Africa,6,"Africa, North and Middle East",43,74,EGY,106157000,263
ES,El Salvador,6491000,10,1,600,5,spa,Spanish,1,Christianity,94.4546237,44.93680817,N,NAR,North America,11,"America, Latin",72,89,SLV,6550000,1
EK,Equatorial Guinea,1436000,18,2,32000,4,spa,Spanish,1,Christianity,89.26661574,4.725910027,N,AFR,Africa,8,"Africa, West and Central",72,95,GNQ,1497000,2
ER,Eritrea,3636000,17,9,1416000,4,tir,Tigrigna,6,Islam,50.85406263,2.646526096,Y,AFR,Africa,7,"Africa, East and Southern",40,77,ERI,3662000,31
EN,Estonia,1288000,18,3,4700,4,ekk,"Estonian, Standard",7,Non-Religious,47.42446541,4.691166479,N,EUR,Europe,9,"Europe, Eastern and Eurasia",69,99,EST,1322000,3
WZ,Eswatini,1160000,10,1,600,5,ssw,Swati,1,Christianity,84.07560914,20.69094986,N,AFR,Africa,7,"Africa, East and Southern",24,88,SWZ,1185000,1
ET,Ethiopia,120507000,128,37,34886000,5,amh,Amharic,1,Christianity,58.35837106,17.96897959,Y,AFR,Africa,7,"Africa, East and Southern",21,52,ETH,120813000,707
FK,Falkland Islands,3800,2,,,4,eng,English,1,Christianity,64.11889417,9.055028936,N,LAM,South America,11,"America, Latin",78,,FLK,4000,
FO,Faroe Islands,49000,3,,,5,dan,Danish,1,Christianity,90.90785875,32.98968055,N,EUR,Europe,10,"Europe, Western",42,,FRO,49000,
FJ,Fiji,895000,33,1,4500,5,eng,English,1,Christianity,64.28150243,26.31763603,N,SOP,Oceania,1,Australia and Pacific,56,94,FJI,909000,1
FI,Finland,5506000,59,16,106000,5,fin,Finnish,1,Christianity,80.34777775,10.20707467,N,EUR,Europe,10,"Europe, Western",85,100,FIN,5555000,16
FR,France,65334000,113,37,4225000,3,fra,French,1,Christianity,62.38063315,1.228708968,N,EUR,Europe,10,"Europe, Western",80,99,FRA,65585000,98
FG,French Guiana,306000,22,1,4700,4,fra,French,1,Christianity,81.05311238,5.691420708,N,LAM,South America,11,"America, Latin",84,83,GUF,314000,1
FP,French Polynesia,277000,13,,,4,fra,French,1,Christianity,83.79732386,6.119131953,N,SOP,Oceania,1,Australia and Pacific,62,98,PYF,284000,
GB,Gabon,2308000,52,5,65000,5,fra,French,1,Christianity,74.77287308,11.86058856,N,AFR,Africa,8,"Africa, West and Central",89,85,GAB,2332000,5
GA,Gambia,2527000,29,14,2142000,1,eng,English,6,Islam,3.665792082,0.901833927,Y,AFR,Africa,8,"Africa, West and Central",61,56,GMB,2558000,49
GG,Georgia,3929000,40,16,273000,3,kat,Georgian,1,Christianity,80.45689634,1.356031842,N,EUR,Europe,9,"Europe, Eastern and Eurasia",59,99,GEO,3969000,20
GM,Germany,83801000,94,27,6343000,4,deu,"German, Standard",1,Christianity,61.26064911,2.084175619,N,EUR,Europe,10,"Europe, Western",77,99,DEU,83884000,138
GH,Ghana,32300000,111,18,1692000,5,eng,English,1,Christianity,62.39844854,25.8910198,N,AFR,Africa,8,"Africa, West and Central",56,79,GHA,32395000,42
GI,Gibraltar,33000,6,3,3200,4,eng,English,1,Christianity,80.20204328,2.205613711,N,EUR,Europe,10,"Europe, Western",100,80,GIB,34000,3
GR,Greece,10243000,51,10,201000,3,ell,Greek,1,Christianity,88.85592022,0.498634505,N,EUR,Europe,9,"Europe, Eastern and Eurasia",79,98,GRC,10317000,11
GL,Greenland,56000,4,,,4,kal,Greenlandic,1,Christianity,95.30430406,7.623316117,N,NAR,North America,12,"America, North and Caribbean",87,99,GRL,57000,
GJ,Grenada,109000,6,,,5,eng,English,1,Christianity,92.38464087,18.82175176,N,NAR,North America,12,"America, North and Caribbean",36,96,GRD,113000,
GP,Guadeloupe,392000,7,,,4,fra,French,1,Christianity,95.19514193,4.763871512,N,NAR,North America,12,"America, North and Caribbean",98,100,GLP,400000,
GQ,Guam,167000,15,1,2700,5,eng,English,1,Christianity,92.56243882,15.89612554,N,SOP,Oceania,1,Australia and Pacific,95,96,GUM,172000,1
GT,Guatemala,18510000,60,1,900,5,spa,Spanish,1,Christianity,95.30431139,24.96161549,N,NAR,North America,11,"America, Latin",51,82,GTM,18584000,1
GV,Guinea,13791000,47,29,11990000,1,fra,French,6,Islam,4.216215741,0.714538704,Y,AFR,Africa,8,"Africa, West and Central",36,30,GIN,13866000,252
PU,Guinea-Bissau,2039000,35,19,975000,4,por,Portuguese,6,Islam,11.63513227,2.031158228,Y,AFR,Africa,8,"Africa, West and Central",43,60,GNB,2063000,32
GY,Guyana,779000,21,1,4000,5,eng,English,1,Christianity,40.56740351,13.24823487,N,LAM,South America,11,"America, Latin",27,89,GUY,794000,1
HA,Haiti,11644000,6,,,5,fra,French,1,Christianity,94.84388198,17.52903754,N,NAR,North America,12,"America, North and Caribbean",55,62,HTI,11680000,
HO,Honduras,10167000,22,1,2000,5,spa,Spanish,1,Christianity,95.6969526,27.47608797,N,NAR,North America,11,"America, Latin",57,87,HND,10221000,1
HU,Hungary,9551000,28,4,74000,4,hun,Hungarian,1,Christianity,87.03391762,3.055331045,N,EUR,Europe,9,"Europe, Eastern and Eurasia",71,99,HUN,9606000,4
IC,Iceland,335000,12,2,2100,4,isl,Icelandic,1,Christianity,90.04523656,4.43399041,N,EUR,Europe,10,"Europe, Western",94,100,ISL,345000,2
IN,India,1400230000,2373,2135,1332045000,1,hin,Hindi,5,Hinduism,2.318034232,,Y,ASI,Asia,4,"Asia, South",34,74,IND,1406632000,27422
ID,Indonesia,278763000,787,241,196131000,4,ind,Indonesian,6,Islam,11.27324396,3.210521231,Y,ASI,Asia,2,"Asia, Southeast",55,96,IDN,279135000,4024
IR,Iran,85888000,94,84,85552000,1,pes,"Persian, Iranian",6,Islam,1.871342047,0.520967024,Y,ASI,Asia,5,"Asia, Central",75,86,IRN,86023000,1746
IZ,Iraq,41981000,35,25,41140000,1,arb,"Arabic, Standard",6,Islam,1.555700367,0.404369504,Y,ASI,Asia,6,"Africa, North and Middle East",71,86,IRQ,42165000,828
EI,Ireland,4968000,45,5,48000,3,eng,English,1,Christianity,91.40623948,1.554590078,N,EUR,Europe,10,"Europe, Western",63,99,IRL,5020000,5
IM,Isle of Man,83000,3,,,4,eng,English,1,Christianity,97.70126113,7.784132305,N,EUR,Europe,10,"Europe, Western",53,,IMN,86000,
IS,Israel,8828000,49,38,8563000,1,heb,Hebrew,4,Ethnic Religions,1.726726529,0.693582859,Y,ASI,Asia,6,"Africa, North and Middle East",92,98,ISR,8923000,189
IT,Italy,60174000,105,23,2082000,3,ita,Italian,1,Christianity,81.33355455,1.456661284,N,EUR,Europe,10,"Europe, Western",70,99,ITA,60263000,56
JM,Jamaica,2968000,9,,,5,eng,English,1,Christianity,81.357184,29.74887218,N,NAR,North America,12,"America, North and Caribbean",56,89,JAM,2985000,
JA,Japan,125505000,38,26,122893000,1,jpn,Japanese,2,Buddhism,2.162806028,0.566187435,Y,ASI,Asia,3,"Asia, Northeast",92,99,JPN,125585000,2471
JO,Jordan,10221000,20,13,9525000,1,arb,"Arabic, Standard",6,Islam,2.277097036,0.266019935,Y,ASI,Asia,6,"Africa, North and Middle East",91,98,JOR,10301000,192
KZ,Kazakhstan,19124000,72,36,14429000,2,kaz,Kazakh,6,Islam,13.65872872,0.585063794,Y,ASI,Asia,5,"Asia, Central",57,99,KAZ,19205000,312
KE,Kenya,56171000,109,32,5416000,5,eng,English,1,Christianity,79.82693849,49.60421742,N,AFR,Africa,7,"Africa, East and Southern",27,82,KEN,56215000,121
KR,Kiribati (Gilbert),119000,5,,,4,eng,English,1,Christianity,98.42129381,8.474952922,N,SOP,Oceania,1,Australia and Pacific,54,93,KIR,123000,
KN,"Korea, North",25866000,5,2,25676000,1,kor,Korean,7,Non-Religious,1.657285234,1.569471639,Y,ASI,Asia,3,"Asia, Northeast",62,99,PRK,25991000,513
KS,"Korea, South",51253000,23,11,443000,5,kor,Korean,7,Non-Religious,30.10154872,16.36024581,N,ASI,Asia,3,"Asia, Northeast",82,99,KOR,51330000,13
KV,Kosovo,1903000,10,5,1828000,1,aln,"Albanian, Gheg",6,Islam,4.165655743,0.194685471,N,EUR,Europe,9,"Europe, Eastern and Eurasia",,92,XKV,1953000,39
KU,Kuwait,4308000,28,13,3264000,2,arb,"Arabic, Standard",6,Islam,10.06943179,1.50499633,Y,ASI,Asia,6,"Africa, North and Middle East",100,94,KWT,4380000,70
KG,Kyrgyzstan,6696000,39,28,6252000,1,kir,Kyrgyz,6,Islam,3.706471593,0.302345811,Y,ASI,Asia,5,"Asia, Central",36,99,KGZ,6728000,145
LA,Laos,7408000,126,96,5609000,4,lao,Lao,2,Buddhism,3.773751106,2.541738984,Y,ASI,Asia,2,"Asia, Southeast",35,85,LAO,7481000,178
LG,Latvia,1773000,21,4,9400,4,lvs,"Latvian, Standard",1,Christianity,60.14046536,7.362038441,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LVA,1849000,4
LE,Lebanon,6630000,26,8,924000,2,arb,"Arabic, Standard",6,Islam,32.85932009,0.710899159,Y,ASI,Asia,6,"Africa, North and Middle East",87,94,LBN,6685000,21
LT,Lesotho,2107000,10,,,5,eng,English,1,Christianity,91.23658429,13.09987742,N,AFR,Africa,7,"Africa, East and Southern",28,79,LSO,2176000,
LI,Liberia,5266000,39,5,599000,5,eng,English,4,Ethnic Religions,40.02359215,11.67715487,N,AFR,Africa,8,"Africa, West and Central",51,48,LBR,5305000,12
LY,Libya,6990000,44,31,6167000,1,arb,"Arabic, Standard",6,Islam,2.477804268,0.158468472,Y,AFR,Africa,6,"Africa, North and Middle East",80,91,LBY,7041000,132
LS,Liechtenstein,38000,8,1,1000,3,deu,"German, Standard",1,Christianity,78.17798553,0.56335706,N,EUR,Europe,10,"Europe, Western",14,100,LIE,38000,1
LH,Lithuania,2656000,20,6,7500,3,lit,Lithuanian,1,Christianity,84.60282325,1.415574867,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LTU,2662000,6
LU,Luxembourg,601000,20,3,2900,3,ltz,Luxembourgish,1,Christianity,80.29749236,0.994651114,N,EUR,Europe,10,"Europe, Western",91,99,LUX,642000,3
MA,Madagascar,29085000,40,11,461000,4,plt,"Malagasy, Merina",1,Christianity,49.65690306,6.096252267,N,AFR,Africa,7,"Africa, East and Southern",37,75,MDG,29178000,15
MI,Malawi,20074000,26,4,2184000,5,eng,English,1,Christianity,75.70884834,17.02567233,N,AFR,Africa,7,"Africa, East and Southern",17,62,MWI,20181000,45
MY,Malaysia,33059000,181,77,16586000,4,zlm,Malay,6,Islam,9.673239711,3.520680442,Y,ASI,Asia,2,"Asia, Southeast",76,95,MYS,33181000,381
MV,Maldives,512000,7,7,512000,1,div,Maldivian,6,Islam,0.030669364,0.01062486,Y,ASI,Asia,4,"Asia, South",40,98,MDV,541000,16
ML,Mali,21285000,73,43,19462000,1,fra,French,6,Islam,2.811735655,0.666500913,Y,AFR,Africa,8,"Africa, West and Central",42,36,MLI,21474000,397
MT,Malta,425000,10,3,2000,3,mlt,Maltese,1,Christianity,96.26113217,1.538048445,N,EUR,Europe,10,"Europe, Western",96,94,MLT,444000,3
RM,Marshall Islands,57000,6,1,400,5,eng,English,1,Christianity,95.26244402,52.91037218,N,SOP,Oceania,1,Australia and Pacific,77,98,MHL,60000,1
MB,Martinique,361000,7,,,4,fra,French,1,Christianity,94.86134484,6.903201152,N,NAR,North America,12,"America, North and Caribbean",89,87,MTQ,374000,
MR,Mauritania,4868000,18,14,4853000,1,arb,"Arabic, Standard",6,Islam,0.279914544,0.124528363,Y,AFR,Africa,8,"Africa, West and Central",54,54,MRT,4902000,104
MP,Mauritius,1243000,18,8,108000,4,eng,English,5,Hinduism,32.48507889,9.725992877,N,AFR,Africa,7,"Africa, East and Southern",41,91,MUS,1275000,8
MF,Mayotte,277000,8,6,273000,1,fra,French,6,Islam,1.626497419,0.09263042,N,AFR,Africa,7,"Africa, East and Southern",47,92,MYT,286000,9
MX,Mexico,131468000,343,3,98000,5,spa,Spanish,1,Christianity,95.30583471,10.47898677,N,NAR,North America,11,"America, Latin",80,95,MEX,131563000,3
FM,"Micronesia, Federated States",114000,25,1,800,5,eng,English,1,Christianity,95.41265745,22.76681125,N,SOP,Oceania,1,Australia and Pacific,23,89,FSM,117000,1
MD,Moldova,3939000,26,8,13000,4,ron,Romanian,1,Christianity,75.47976374,4.618147156,N,EUR,Europe,9,"Europe, Eastern and Eurasia",43,99,MDA,4013000,8
MN,Monaco,39000,14,1,700,3,fra,French,1,Christianity,82.54025132,1.269976003,N,EUR,Europe,10,"Europe, Western",100,99,MCO,40000,1
MG,Mongolia,3327000,28,22,3263000,1,khk,"Mongolian, Halh",2,Buddhism,1.762707824,0.863313622,Y,ASI,Asia,3,"Asia, Northeast",68,97,MNG,3378000,74
MJ,Montenegro,599000,16,3,55000,3,srp,Serbian,1,Christianity,74.2605054,0.264274871,N,EUR,Europe,9,"Europe, Eastern and Eurasia",67,99,MNE,628000,3
MH,Montserrat,4900,2,,,5,eng,English,1,Christianity,94.92014427,27.49856365,N,NAR,North America,12,"America, North and Caribbean",9,94,MSR,5000,
MO,Morocco,37687000,31,27,37672000,1,arb,"Arabic, Standard",6,Islam,0.188744814,0.104831718,Y,AFR,Africa,6,"Africa, North and Middle East",63,74,MAR,37773000,757
MZ,Mozambique,32950000,61,11,3154000,5,por,Portuguese,1,Christianity,52.46436343,13.19384287,N,AFR,Africa,7,"Africa, East and Southern",36,61,MOZ,33089000,63
BM,Myanmar (Burma),55126000,149,52,45972000,4,mya,Burmese,2,Buddhism,8.162345026,4.871526647,Y,ASI,Asia,2,"Asia, Southeast",31,76,MMR,55227000,939
WA,Namibia,2559000,33,,,5,eng,English,1,Christianity,88.78880372,12.47223596,N,AFR,Africa,7,"Africa, East and Southern",50,92,NAM,2634000,
NR,Nauru,11000,7,,,5,eng,English,1,Christianity,85.59136143,12.59545904,N,SOP,Oceania,1,Australia and Pacific,100,97,NRU,11000,
NP,Nepal,30101000,270,259,26763000,1,npi,Nepali,5,Hinduism,1.423067086,,Y,ASI,Asia,4,"Asia, South",20,68,NPL,30226000,716
NL,Netherlands,17100000,102,23,1593000,4,nld,Dutch,7,Non-Religious,46.86431321,4.01299015,N,EUR,Europe,10,"Europe, Western",92,98,NLD,17211000,42
NC,New Caledonia,284000,44,,,4,fra,French,1,Christianity,78.45102774,6.183612983,N,SOP,Oceania,1,Australia and Pacific,71,99,NCL,291000,
NZ,New Zealand,4862000,92,28,416000,5,eng,English,1,Christianity,51.04659376,17.67309562,N,SOP,Oceania,1,Australia and Pacific,87,99,NZL,4898000,30
NU,Nicaragua,6715000,18,,,5,spa,Spanish,1,Christianity,96.17942596,42.92104253,N,NAR,North America,11,"America, Latin",59,83,NIC,6779000,
NG,Niger,25995000,38,30,25531000,1,fra,French,6,Islam,1.566901457,0.967879613,Y,AFR,Africa,8,"Africa, West and Central",16,35,NER,26084000,517
NI,Nigeria,216645000,538,91,68004000,5,eng,English,1,Christianity,51.25989554,25.77579227,Y,AFR,Africa,8,"Africa, West and Central",50,62,NGA,216747000,1405
NE,Niue,2000,2,,,4,eng,English,1,Christianity,95.91908714,5.336110856,N,SOP,Oceania,1,Australia and Pacific,45,99,NIU,2000,
NF,Norfolk Island,1600,3,,,5,eng,English,1,Christianity,72.27144572,20.45890928,N,SOP,Oceania,1,Australia and Pacific,,,NFK,1700,
MK,North Macedonia,2074000,22,9,639000,3,mkd,Macedonian,1,Christianity,61.9724942,0.166942209,N,EUR,Europe,9,"Europe, Eastern and Eurasia",58,97,MKD,2081000,19
CQ,Northern Mariana Islands,56000,11,1,900,5,eng,English,1,Christianity,75.35083778,16.89450493,N,SOP,Oceania,1,Australia and Pacific,92,97,MNP,58000,1
NO,Norway,5489000,61,13,264000,4,nor,Norwegian,1,Christianity,87.24936577,7.957708406,N,EUR,Europe,10,"Europe, Western",82,100,NOR,5511000,13
MU,Oman,5308000,35,27,4806000,1,arb,"Arabic, Standard",6,Islam,2.847447442,0.653324688,Y,ASI,Asia,6,"Africa, North and Middle East",85,99,OMN,5324000,105
